COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),INFORM_2016,Rank_2016
Georgia,GEO,3.5,Medium,89,1.505882353,2.7,4.7,7.2,6.1,0,0,6,5.1,4.9,0.1,0.2,0,4.9,2.3,1.1,3.1,4,6.8,9.1,0.5,0.6,4.7,1.6,2,3.2,4.5,4.7,4.2,1.6,1.1,1.4,2.2,3,0.058823529,,0.132352941,3.5,89
Ghana,GHA,4,Medium,71,1.126760563,3.3,3.3,0.1,4.7,1.7,0,4.3,1.3,7.6,3.3,3.2,3.4,4.1,5.3,6.9,5.7,1.5,2.7,3.3,3.4,3,0.1,1.2,2,4.7,4.4,3.4,5.4,5,3.2,6.1,5.7,0,0,,0.211267606,3.8,80
Guinea,GIN,4.2,Medium,61,1.317647059,2.3,3.7,0.1,5.5,2.7,0,4.9,0.7,7.9,0.7,1.4,0,4.6,6.1,9.1,4.7,1.4,2.6,1.6,5.1,5.4,0.2,2.2,3.5,6.9,6.1,5,7.2,7.5,6.4,7.3,8.7,2,0.039215686,,0.147058824,4.6,45
Gambia,GMB,3.7,Medium,79,0.600938967,1.6,2.9,0.1,4.6,1.1,0,2.5,3,6.5,0,0,0,5.7,7.3,8.3,5.6,7,3.5,3.8,2.5,3.1,0.2,5.6,3.1,5.4,4.7,3,6.3,6,5.6,4.9,7.5,0,0,,0.112676056,3.6,86
Guinea-Bissau,GNB,3.7,Medium,79,0.695652174,1.3,2.4,0.1,2.8,0,0,2.1,1.9,7.2,0.1,0.1,0,5.2,6.8,8.9,5.3,3.9,3.1,0,5.8,4.6,0,8.2,5.3,7.7,7.9,7.8,7.9,7.5,6.1,8.2,8.3,0,0,,0.130434783,4.1,66
Equatorial Guinea,GNQ,3,Low,109,4.888888889,1.3,2.3,0.1,2,0,0,2,2.9,6.7,0.1,0.2,0,2.9,3.4,5,x,0.1,2.3,0,6.3,3.4,0,5.5,4.2,7.2,8,x,8,6.3,5.1,6.6,7.2,10,0.196078431,,0.416666667,3.1,105
Greece,GRC,2.7,Low,126,3.93220339,2.8,4.9,8.1,3.8,7.2,0,5,1.9,4.8,0.1,0.1,0,2.9,0.5,0.1,1.8,0.1,4.8,7.4,0.2,0.3,0.3,1.1,0.5,2.3,3.5,2.3,4.6,0.8,2.1,0,0.4,10,0.196078431,,0.237288136,2.4,139
Grenada,GRD,2.5,Low,136,7.306666667,1.4,2.6,3.4,0,0,6,2.5,0.5,3.9,0,0,0,2.9,2.3,2.1,4.7,0.4,3.5,0,0.1,1.2,10,5.1,5.9,3.9,4.8,4.7,4.8,2.8,3,0.6,4.7,20,0.392156863,,0.62,2,159
Guatemala,GTM,4.9,Medium,42,3.136318408,3.6,5.9,9.5,4.2,6.8,3.7,3.7,3.5,5.7,0.3,0.6,0,6.2,5.6,6.8,6.1,2.7,6.8,7.7,0.3,2.5,10,2.9,5.7,5.4,6.4,5.5,7.3,4.1,3.1,4.2,4.9,4,0.078431373,,0.388059701,4.8,38
Guyana,GUY,3.5,Medium,89,2.266666667,2.4,4.2,0.1,6.9,2.5,0,7,3.7,5.3,0.1,0.1,0,3.9,3.8,3.1,5.5,3.5,3.9,5.9,2,2.1,0,0.6,1.2,4.7,5.8,x,5.8,3.3,2.3,3.9,3.6,6,0.117647059,,0.125,3.8,80
Honduras,HND,5.6,High,28,2.787878788,6,5.8,8.1,5.4,6.4,4.6,4,4.9,6,6.1,6.2,5.9,5.5,5.5,5.9,5.7,4.5,5.5,7.6,0.8,1.4,0.8,4.9,2.2,5.3,6.2,5.2,7.2,4.3,3.7,3.7,5.5,5,0.098039216,,0.272727273,4.9,36
Croatia,HRV,2.4,Low,144,3.251612903,2.5,4.4,5.6,6.8,5.8,0,5,3.2,2.1,0.1,0.1,0,2,0.8,0.4,1.1,1.2,3.1,5,0.1,0.4,0.1,1.2,0.5,2.8,4.4,4.4,4.4,0.9,1.6,0.2,1,8,0.156862745,,0.209677419,2.7,122
Haiti,HTI,7.2,Very High,11,4.815920398,7.7,6.5,8.4,4.6,4.1,8.9,4.5,3.7,7.6,8.6,9.3,7.5,6.7,6.7,7.8,6.2,4.8,6.6,7.7,2.6,3.2,0.1,9.4,5.1,7.2,7.8,6.7,8.9,6.4,6.3,5,7.9,4,0.078431373,YES,0.52238806,5.4,28
Hungary,HUN,2,Very Low,164,4.018079096,1.6,2.9,1.8,7.3,0,0,0,3,4.9,0.1,0.1,0,2.3,1.1,1,2.1,0.4,3.4,5.5,0.1,0.3,0,1.2,0.4,2.1,3.2,1.4,4.9,0.8,1.5,0.1,0.8,11,0.215686275,,0.203389831,2.1,151
Indonesia,IDN,4.8,Medium,45,1.980392157,7.5,7.4,8.9,8.4,9.3,1.5,8.1,3.3,7.2,7.5,8.7,5.6,3.4,3.2,4,4.6,0.2,3.6,4.2,2.7,2.8,3.9,2.2,2.9,4.3,4.4,3.3,5.4,4.1,2.2,3.9,6.2,3,0.058823529,,0.147058824,4.5,51
India,IND,5.4,High,35,2.029850746,8.6,7.9,8.3,9.2,7.8,7.7,7.8,6.3,7.4,9.1,10,7.4,4.5,4.1,6,3.9,0.5,4.9,6.3,2.3,4.6,0.9,4.1,3.1,4,3.5,1.8,5.2,4.4,4.1,3.8,5.4,4,0.078431373,YES,0.104477612,6.1,20
Ireland,IRL,1.7,Very Low,177,3.574269006,1.2,2.2,0.1,3.5,1.8,0,5.9,0.9,1.7,0.1,0.1,0,2.7,0.3,0,1.2,0,4.5,7.2,0.2,0.2,0,0,0.1,1.5,2.1,x,2.1,0.9,1.6,0.7,0.5,12,0.235294118,,0.070175439,1.4,181
Iran,IRN,5.4,High,35,4.916666667,7.3,6.7,9.3,7.3,5.5,1.6,7.4,6.4,6.3,7.8,9.4,4.7,4.8,2.4,2.4,4.5,0.1,6.5,9,0.1,1,0.6,2.2,1,4.5,5.8,4.4,7.2,2.9,1.6,3.6,3.4,6,0.117647059,,0.4375,4.8,38
Iraq,IRQ,6.4,High,20,3.254901961,8,5.9,5.1,9.6,0,0,4.5,7.5,7,9.2,10,7.7,5.2,3.8,5.1,4.3,0.8,6.3,8.7,0.3,1.4,0,4.1,1.6,6.4,8.1,8.4,7.7,3.7,2.6,3.2,5.2,3,0.058823529,YES,0.338235294,7.2,9
Iceland,ISL,1.7,Very Low,177,3.752380952,1.4,2.6,5.4,0,0,0,6.5,0,2.8,0,0,0,1.8,0.1,0,0.4,0.1,3.3,5.5,0.1,0.2,0.5,0.4,0.3,2,2.4,x,2.4,1.5,1.3,2.6,0.7,13,0.254901961,,0.053571429,1.2,187
Israel,ISR,3.4,Medium,92,5.619883041,6.6,3.5,6.9,0.3,2.7,0,2.4,5.3,4.5,8.4,7.9,8.9,3.1,0.6,0,2.2,0.1,5,7.7,0,0.3,0,0,0.1,1.9,3.2,x,3.2,0.5,1.2,0,0.4,13,0.254901961,YES,0.192982456,2.6,126
Italy,ITA,2.5,Low,136,3.095081967,2.9,5,7.7,6.2,6.1,0,6.5,2.7,2,0.1,0.2,0,2.7,0.4,0,1.6,0.1,4.5,7.1,0.2,0.2,0,0.1,0.1,2.1,3.4,2.4,4.3,0.6,1.3,0,0.4,8,0.156862745,,0.180327869,2.4,139
Jamaica,JAM,2.9,Low,115,4.025806452,2.9,5,7.9,0,0,8.2,5.5,2.7,5.1,0.1,0.1,0,2.3,3.7,3.9,4.3,2.6,0.6,0,0.9,1,0,2.7,1.2,3.5,4,3.3,4.7,2.9,2.2,1.9,4.7,8,0.156862745,,0.35483871,3.1,105
Jordan,JOR,3.7,Medium,79,3.6,1.9,3.3,7.3,0.4,0,0,0.2,6.7,3.9,0.3,0.6,0,6.1,3.4,2.1,4.1,5.3,7.9,10,0.1,0.9,0,5,1.8,4.3,5.6,6.1,5,2.7,2.1,2.4,3.6,6,0.117647059,,0.375,3.8,80
Japan,JPN,2.3,Low,152,5.066666667,5.5,8.3,9.7,7.8,10,9.2,9.4,0.4,3.4,0.1,0.1,0,1.6,0.4,0,1.5,0,2.6,4.1,0.1,0.5,0,2.7,0.9,1.4,2.1,1.9,2.3,0.7,1.1,0.1,1,9,0.176470588,,0.5,2.1,151
Kazakhstan,KAZ,2.5,Low,136,3.434343434,2.2,3.9,5.6,7.6,0,0,0,6.1,3.8,0.1,0.2,0,2.1,1.2,1.4,1.8,0.1,3,4.9,0.7,0.6,0.6,0.4,0.6,3.5,4.6,3.8,5.4,2.1,1.1,3.5,1.7,5,0.098039216,,0.393939394,2.3,145
Kenya,KEN,6.2,High,22,0.751173709,6.7,4.2,2.8,5.1,3.2,0,2.7,6.7,6.6,8.3,9.3,6.7,6.1,5.4,7.3,5.3,1.8,6.7,8,3.1,2.7,1.2,8.7,4.8,5.7,5.1,3.9,6.3,6.3,4.2,7.8,7,0,0,,0.112676056,6.4,16
Kyrgyzstan,KGZ,3.2,Medium,99,2.153233831,2.4,4.1,7.7,4.8,0,0,0,6.3,5,0.3,0.6,0,3.3,3.1,2.5,2.8,4.6,3.5,4.9,1.7,0.8,1.6,2.5,1.7,4.3,5.4,3.7,7.1,2.9,1.5,3.4,3.9,3,0.058823529,,0.253731343,3.3,97
Cambodia,KHM,4.3,Medium,56,1.887179487,2.7,4.6,0.1,8.7,2.8,1.8,3.8,4.2,6.3,0.3,0.5,0,4.9,5.7,6.4,6.5,3.3,3.9,5.5,2.4,2.7,0.3,1.9,1.9,5.9,6.8,6.8,6.8,4.7,3.1,5.1,6,4,0.078431373,,0.153846154,4.2,63
Kiribati,KIR,3.6,Medium,86,6.981818182,2.5,4.4,0.1,0,7.7,0,8.4,3.5,4.7,0,0,0,3.9,5.2,6.3,0.7,7.3,2.4,0,8.9,2.9,0,0.7,4.3,4.7,4.7,x,4.7,4.6,4.3,3.9,5.5,12,0.235294118,,0.709090909,3.9,76
Saint Kitts and Nevis,KNA,1.8,Very Low,173,6.666666667,1.6,2.9,3.6,0,0,8.6,0,0,2.7,0,0,0,1.3,1,1.2,x,0.6,1.6,1.3,0,1.2,0,5.1,1.9,2.9,4.1,4,4.2,1.6,2.1,0.3,2.4,22,0.431372549,,0.5,2.1,151
Korea Republic of,KOR,2,Very Low,164,3.532240437,3.6,6,6.9,7.1,5.7,8.3,7.1,0.3,2.9,0.1,0.1,0,1.4,0.3,0,1.2,0.1,2.3,3.9,0.2,0.2,0,0.8,0.3,1.5,2.3,1.5,3,0.6,0.8,0,1.1,8,0.156862745,,0.262295082,1.8,164
Kuwait,KWT,2.4,Low,144,3.204519774,1.4,2.4,0.1,3.7,0,0,5.2,2.9,3.6,0.2,0.3,0,2.8,1.2,1.1,2.7,0,4.2,6.7,0.1,0.7,0,0.6,0.4,3.4,5.1,x,5.1,1.1,0.5,1.6,1.3,11,0.215686275,,0.050847458,2.5,131
Lao PDR,LAO,3.4,Medium,92,2.276923077,2.1,3.6,2.8,8.2,0,1.4,0,1.4,6.2,0.2,0.3,0,3.4,5.1,6.7,4.8,2,1.2,0,1.6,3.9,0.8,2.4,2.3,5.6,6.4,6.1,6.7,4.7,3.3,4.7,6.2,3,0.058823529,,0.276923077,3.7,84
Lebanon,LBN,5.5,High,32,3.995767196,5.1,3.7,8.2,0,3.9,0,3.2,2.9,3.7,6.3,6.5,6,7.1,4.6,3.5,3.3,8.2,8.6,10,0.1,1.1,10,2.5,5.4,4.7,6.3,4.7,7.8,2.5,2.6,0.5,4.5,8,0.156862745,,0.349206349,5.5,27
Liberia,LBR,4.6,Medium,48,2.774879227,2.2,3.9,0.1,7.4,2.4,0,4.1,0.4,7.7,0.1,0.2,0,5.9,7.3,8.6,5.7,6.3,3.9,1.6,5.9,4,0.9,8.7,5.6,7.7,7.7,x,7.7,7.7,7.6,7.6,7.8,2,0.039215686,,0.420289855,5,34
Libya,LBY,4.3,Medium,56,4.24973545,2.4,3.3,1.4,0.6,5.4,0,5.4,5,3,1.4,1.8,0.9,4.9,2.7,3.2,3.5,1,6.5,7.3,0.5,1.7,10,2.1,5.5,6.6,8.4,x,8.4,3.5,3.7,3.5,3.3,8,0.156862745,,0.396825397,6.2,19
Saint Lucia,LCA,2.7,Low,126,7.2,1.9,3.5,4.4,0,0,8,2.6,0.5,4.7,0,0,0,2.6,3.9,3.4,4.7,3.9,1,0,0,1,0.8,5.1,2,4.1,5.1,5.2,4.9,2.9,2.5,0.8,5.3,12,0.235294118,,0.949152542,2.6,126
Liechtenstein,LIE,1,Very Low,190,7.145299145,0.8,1.6,5,3.6,0,0,0,0,1.2,0,0,0,0.9,0,0,x,0,1.8,3.1,x,x,0,0.4,0.2,1.4,2,x,2,0.7,1.4,0,x,28,0.549019608,,0.58974359,0.9,189
Sri Lanka,LKA,2.9,Low,115,2.383838384,2.3,3.9,0.1,1.9,8,2.2,3.3,3.2,5.5,0.3,0.6,0,2.7,2.8,3.2,4.1,0.8,2.6,3.3,0.3,2.6,2.7,2,1.9,4.1,4.9,3.6,6.2,3.1,2.5,2.8,3.9,5,0.098039216,,0.196969697,3.4,94
Lesotho,LSO,3.7,Medium,79,2.101960784,1.2,2.1,0.1,2.1,0,0,0,6.5,3.2,0.1,0.1,0,6,6.5,7.4,6.2,4.9,5.5,1.2,7.3,4,10,7.6,7.9,6.9,7.5,8.4,6.5,6.1,5.2,6.3,6.8,2,0.039215686,,0.294117647,3.5,89
Lithuania,LTU,1.9,Very Low,169,3.007650273,1.2,2.2,0.1,5.8,0,0,3.3,2.9,1.1,0.1,0.1,0,2.8,0.8,0.4,2.1,0.2,4.4,6.9,0.3,0.3,0,0.8,0.4,2.2,3.5,x,3.5,0.7,1.1,0.3,0.6,8,0.156862745,,0.163934426,1.6,173
Luxembourg,LUX,1.1,Very Low,189,4.11299435,0.5,0.9,0.1,2.9,0,0,0,1.3,1.7,0.1,0.1,0,2.1,0.5,0,1.3,0.5,3.5,5.7,0.2,0.2,0,1.2,0.4,1.3,1.9,x,1.9,0.7,1.1,0.1,0.8,10,0.196078431,,0.271186441,0.9,189
Latvia,LVA,2.4,Low,144,2.395628415,1.3,2.4,0.1,6.6,0,0,3.6,2.5,1.2,0.1,0.1,0,4.2,0.9,0.4,2.1,0.5,6.4,9,0.6,0.2,0,1,0.5,2.5,3.8,x,3.8,1,1.3,0.7,0.9,8,0.156862745,,0.049180328,2.5,131
Morocco,MAR,3.7,Medium,79,2.50821256,3.4,4.3,4.4,5,4.5,0,5,6.4,3.5,2.4,2.8,2,3.2,4,4.7,4.8,1.6,2.3,3.5,0.5,1,1.1,1,0.9,4.7,5.7,5.6,5.8,3.4,2.2,3.7,4.4,1,0.019607843,,0.420289855,3.4,94
Moldova Republic of,MDA,3.1,Low,103,4.224338624,1.8,3.3,6,4.6,0,0,0,5.2,4.3,0.1,0.1,0,4.1,3,2.4,1.2,6,5,7.4,1.1,0.8,0,2,1,4.2,6,6.2,5.7,1.7,1.9,1.1,2.1,6,0.117647059,,0.492063492,2.7,122
Madagascar,MDG,5.1,High,39,1.219047619,3.4,5.6,0.1,6.1,6.4,6.7,6.3,4.3,7.2,0.2,0.4,0,5.5,6.7,9.1,6.1,2.3,4.1,1.9,4.3,5.1,1.4,9,5.7,7.1,6,4.7,7.3,7.9,6.4,9.4,8,0,0,,0.228571429,5,34
Maldives,MDV,2.2,Low,154,4.673224044,1.5,2.7,0.1,0,9,0,0,0,2.9,0.1,0.1,0,1.8,2.7,2.2,2.8,3.4,0.9,0,0.3,1.9,0,4.2,1.8,3.8,5.8,5.8,5.7,1.1,1.3,0,2.1,9,0.176470588,,0.426229508,2.5,131
Mexico,MEX,5.5,High,32,2.129353234,8.8,6.4,8.2,7.9,5.5,7.1,6.3,3,5.1,10,10,10,4.2,3.1,3.5,4.7,0.5,5.1,7.6,0.8,1,0.4,0.9,0.8,4.4,5.7,5.1,6.3,2.8,2.1,3,3.4,4,0.078431373,YES,0.119402985,5.1,32
Marshall Islands,MHL,3.9,Medium,75,8,2.5,4.4,0.1,0,6.8,1.8,8.5,4.6,3.8,0,0,0,4.4,4.3,3.4,2.6,7.8,4.5,0,7,2.4,10,5,7.2,5.2,5.9,7.3,4.5,4.4,3.7,1.7,7.8,15,0.294117647,,1.018518519,3.9,76
North Macedonia,MKD,2.5,Low,136,3.41010101,1.7,3.1,6.5,4.2,0,0,0,3.7,4.7,0.1,0.1,0,2.5,2,1.7,2,2.5,3,4.9,0.1,0.3,0,1.6,0.5,3.6,4.7,3.8,5.5,2.2,1.9,1.7,2.9,4,0.078431373,,0.439393939,2.5,131
Mali,MLI,7,Very High,14,0.938967136,8.1,4.3,0.1,7.9,0,0,0,7.8,7,9.8,10,9.5,6.5,7,9.7,5.4,3,6,7.6,4.2,5.7,1.9,2.3,3.7,6.4,6.1,4.9,7.3,6.6,6.4,6,7.5,0,0,YES,0.14084507,6.5,15
Malta,MLT,1.7,Very Low,177,3.377777778,0.9,1.7,0.1,0,5.9,0,0.7,0,3.1,0,0,0,2,0.5,0,1.6,0.2,3.3,5.3,0.2,0.4,0,1.4,0.5,2.5,4.2,x,4.2,0.5,1.4,0,0.1,9,0.176470588,,0.183333333,1.5,177
Myanmar,MMR,7.2,Very High,11,3.450980392,9,7.2,8.2,8.8,8.3,5.8,8,0.9,6.6,10,10,10,6.2,4.9,7.2,3.9,1.1,7.3,9.4,3.8,3.7,0.1,2,2.5,6.6,7.7,7.1,8.2,5.1,3.8,5.3,6.3,3,0.058823529,YES,0.367647059,6.9,11
Montenegro,MNE,2.8,Low,123,2.5,1.8,3.2,5.5,1.3,6.1,0,3,2.1,2.4,0.1,0.1,0,4.1,2.4,1.9,1.9,4,5.4,8.1,0.2,0.5,0,0.4,0.3,3.1,4.7,4,5.3,1.1,0.4,0.7,2.3,5,0.098039216,,0.21875,2.6,126
Mongolia,MNG,2.9,Low,115,2.117171717,1.6,2.9,2.1,6.7,0,0,0,6.2,1.8,0.1,0.1,0,3.4,3.4,4.4,2.8,1.8,3.3,0,2.8,0.7,10,1.2,5.6,4.5,5.7,5.1,6.3,3,1.3,5.4,2.2,4,0.078431373,,0.196969697,3.1,105
Mozambique,MOZ,6.9,Very High,16,1.19047619,7.2,5.1,3.4,6.1,3.8,2.7,5.6,6.3,6.8,8.6,9.6,7,7.4,7.4,9.2,6.4,4.8,7.4,7.9,8.2,4.3,7.6,6.7,6.9,6.2,4.6,2.1,7,7.4,7.6,8,6.6,1,0.019607843,YES,0.128571429,5.8,24
Mauritania,MRT,4.8,Medium,45,1.812560386,3.3,4.8,0.4,6.1,1.1,0,4.4,9,6.2,1.5,0.7,2.2,5.5,5.9,8.4,4.9,2,5,7,1.3,4,0.2,1.9,2,6,5.8,4.8,6.7,6.2,5,6.4,7.1,1,0.019607843,,0.289855072,4.6,45
Mauritius,MUS,2.2,Low,154,4.056830601,1.7,3,0.1,0,4.5,7.8,0,0.7,3.8,0.1,0.1,0,2.3,2.5,2.1,3.9,2,2,0,1,1.2,7.8,1.5,3.6,2.7,3.7,3.2,4.2,1.5,1.7,0.2,2.6,8,0.156862745,,0.360655738,2,159
Malawi,MWI,4.3,Medium,56,0.695652174,2.1,3.8,6.2,4.7,0,0,0,5.7,6.4,0.1,0.2,0,6.2,6.4,8.3,5.6,3.4,6,4.9,5.6,3,10,4.5,6.9,6.2,5.4,4,6.7,6.9,7.3,6.5,6.9,0,0,,0.130434783,4.5,51
Malaysia,MYS,2.9,Low,115,2.55483871,2.6,4.5,1.9,6.8,5.4,0,6.4,3.1,5.2,0.2,0.3,0,3.4,1.8,1.9,3.3,0,4.8,7.1,0.7,2,0.2,1.7,1.2,2.9,3.3,2.6,4,2.5,1.1,3,3.3,7,0.137254902,,0.129032258,3.1,105
Namibia,NAM,4,Medium,71,3.276190476,2.3,4.1,0.1,5.1,0,0,1.2,9.4,4.9,0.1,0.1,0,5.7,6,7.3,7.3,2,5.4,3.5,5,2.9,10,5.7,6.9,4.9,4.7,4.3,5,5.1,3.8,6.4,5.2,0,0,,0.614285714,3.9,76
Niger,NER,7.3,Very High,9,2.169082126,7.2,3.8,0.1,6.6,0,0,0,7,7.3,9,9.8,7.8,7.3,7.5,10,5.1,4.8,7.1,8.3,3.5,8.4,4.6,3.4,5.4,7.4,5.9,5.2,6.6,8.4,8.2,9.7,7.4,1,0.019607843,YES,0.275362319,6.1,20
Nigeria,NGA,6.8,High,17,1.476190476,8.5,4.8,0.1,8.2,0,0,6.5,3.1,8.3,10,10,10,6.2,5.6,7.7,5.8,1.1,6.8,8.1,5.3,6.2,2.4,4.6,4.8,6,5,2.7,7.3,6.8,5.1,6.3,9,1,0.019607843,YES,0.171428571,6.9,11
Nicaragua,NIC,4.3,Medium,56,5.333333333,3.6,5.9,8.2,5,7.2,4.2,4.3,4,6.4,0.2,0.3,0,4.2,5.9,5.9,5.3,6.4,1.9,1.8,1,1.1,0,4.7,1.9,5.4,6.2,4.7,7.7,4.4,3.6,5.1,4.5,5,0.098039216,,0.893939394,4.1,66
